"","CID3921","CID45171","CID4066","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID3941","CID3948","CID4067","CID4290A"
"TMEM92-AS1",1,4,0,0,0,0,23,1,6,10,0,0,0,0,0,0,0,0,1,4
"NME1-NME2",7,4,2,0,2,5,2,0,3,1,0,1,2,0,0,3,0,1,3,1
"CACNG1",7,0,0,0,0,0,3,0,1,0,0,1,0,0,20,132,0,0,8,13
"RP11-419J16.1",4,0,0,0,0,0,0,0,1,24,0,1,0,0,0,0,0,0,0,2
"AC034110.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP1-278O22.1",0,0,1,1,3,6,2,0,11,4,0,1,0,0,4,0,0,0,0,0
"CSTL1",2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,29,0,0,0,0
"TLDC2",0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0
"CBLN4",0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,0,1,0,0
"AC005262.2",2,2,0,0,0,1,2,0,0,3,0,0,0,0,2,0,0,0,2,0
"CTC-518P12.6",0,0,0,0,0,1,7,5,2,5,0,0,1,1,1,1,0,0,0,1
"LLNLR-304G9.1",1,0,0,0,0,0,3,0,0,3,0,1,0,0,3,36,0,1,3,0
"CASP14",480,2,130,1,0,0,998,0,784,1569,612,0,0,0,0,0,0,0,0,121
"CYP4F8",1,25,0,0,0,0,7,0,2,2,0,0,25,7,302,2,4,0,7,1404
"CTB-186G2.1",1,5,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0
"CYP2B6",2,0,1,0,0,0,0,0,0,0,0,3,23,146,3,24,7,9,1,3
"CCDC188",0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0
"AF165138.7",0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0
"AP000295.9",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"DSCR8",114,0,2,0,0,0,1808,0,0,322,0,2,33,1,2,5,7,155,0,2
"AP001057.1",0,0,1,0,2,0,13,0,0,0,0,1,1,0,0,0,1,0,4,1
"RP11-54O7.16",2,1,2,0,2,74,32,0,0,0,0,0,1,0,0,0,0,0,0,2
"LINC01342",4,1,0,0,0,0,0,0,5,1,0,0,2,0,9,3,0,0,3,1
"RP11-338N10.1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"RP11-431K24.4",0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0
"NPPA",1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
"PADI1",7,1,5,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
"ACTL8",424,57,106,1,21,496,106,0,8,5,0,0,9,0,3,3,0,0,0,0
"LINC01141",2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"RP4-710M16.2",43,2,1,1,0,0,21,0,0,7,0,0,1,2,0,0,0,0,0,1
"NBPF4",2,0,3,0,0,0,0,0,0,0,1,0,7,0,0,0,5,1,11,32
"NBPF6",1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,11,19
"RP4-735C1.6",1,0,0,0,0,0,0,1,1,0,0,0,1,0,4,0,0,0,10,3
"RP11-426L16.10",0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,2,2
"RP11-353N4.5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CRP",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"GPR52",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP1-35C21.1",0,0,2,0,0,0,0,0,0,0,0,0,2,38,0,0,3,0,0,0
"ZNF648",5,0,0,0,0,9,1,0,1,0,0,0,0,1,2,0,0,2,10,0
"RP11-538D16.2",4,1,0,0,0,58,5,0,5,2,0,0,2,2,4,0,0,0,5,1
"RP11-61J19.2",3,1,0,0,10,1,3,0,6,0,0,0,3,0,0,1,0,0,11,0
"RP11-815M8.1",1,0,0,0,0,0,1,0,7,13,0,0,1,0,0,0,0,0,0,0
"RP11-400N13.1",4,3,1,0,0,0,0,1,10,2,0,0,0,0,0,0,0,0,0,0
"RP11-245P10.4",1,0,0,0,1,1,1,0,0,0,3,0,1,0,0,0,0,0,0,1
"RP4-781K5.5",0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,3,0,0
"RP11-278H7.1",0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-734K21.5",4,9,1,0,5,4,1,0,3,11,0,0,1,0,35,0,0,1,2,17
"IGKV2D-30",0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,9,0,0
"IGKV2D-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGKV1D-42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTAT33",0,0,0,0,0,7,0,1,1,0,1,0,0,0,0,0,0,0,0,1
"AC108868.5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC018804.3",1,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,1,4,0,0
"MAP3K19",4,0,0,0,0,0,4,0,0,2,0,0,4,0,1,0,8,1,0,17
"NXPH2",0,0,0,0,0,1,19,0,1,0,0,0,1,0,0,0,0,0,0,0
"AC009478.1",6,4,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0
"AC017101.10",0,0,0,0,0,1,2,8,0,0,0,0,2,0,0,0,0,0,1,2
"AC007879.2",0,0,0,0,0,0,1,3,15,3,0,0,0,0,1,2,0,0,0,0
"GBX2",3,7,0,0,0,25,0,9,1,0,0,0,1,0,0,0,0,0,1,0
"AC005237.4",4,0,0,0,13,2,16,0,0,3,1,0,1,0,0,0,0,1,3,13
"AC114730.8",2,0,0,0,10,5,10,7,0,0,0,0,1,1,0,1,1,0,0,1
"RP11-804H8.7",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-723O4.9",2,15,0,0,1,0,9,1,5,1,1,0,0,0,12,9,0,2,10,3
"RP11-292E2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBL1XR1-AS1",1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
"AC139887.4",2,1,1,0,14,5,6,3,1,1,1,0,9,0,0,0,1,0,5,6
"CHRNA9",3,1,0,0,0,0,1,0,0,53,0,0,1,0,0,8,0,0,0,0
"UGT2B28",144,0,0,0,0,0,1,0,0,1,0,0,1,0,3,15,0,0,0,16
"MUC7",3,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
"RP11-45L9.1",1,0,0,0,0,9,1,0,1,2,2,0,1,1,1,0,0,0,7,2
"RRH",5,0,0,0,0,1,1,0,4,0,0,0,3,0,1,2,0,0,6,3
"RP13-884E18.2",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"HHIP",4,0,0,0,0,1,2,3,2,0,0,0,0,1,0,0,0,0,0,0
"LINC01093",1,7,2,0,0,0,9,0,0,0,0,0,1,1,0,0,0,1,0,0
"RP11-310P5.1",1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,1,0
"CTC-537E7.2",5,16,1,0,1,1,101,0,1,0,0,0,1,0,5,0,0,1,1,3
"CTC-431G16.2",1,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,7,0
"CTC-480C2.1",1,8,0,0,0,0,16,0,1,8,0,0,1,0,0,0,0,0,0,0
"AC005609.16",1,1,0,0,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,2
"PCDHA7",0,12,0,0,1,1,5,0,2,0,0,0,2,1,5,0,0,0,0,2
"AC005609.18",11,6,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0
"AC005609.17",0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,4
"SCGB3A2",1,0,0,0,0,0,0,0,9,9,0,0,11,0,1,0,0,0,0,0
"CTB-140J7.2",2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,7
"IL12B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ADRA1B",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"HMP19",1,0,0,0,0,0,18,0,0,0,0,0,1,0,0,1,0,0,0,0
"RP3-369A17.4",0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
"PGK2",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TRDN",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-162J8.3",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1
"PLG",1,0,3,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"AC073316.1",0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0
"NXPH1",1,0,48,0,0,0,3,0,0,0,0,0,3,5,2,0,0,0,0,42
"AC073333.8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"EVX1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
"NPC1L1",9,3,0,0,0,3,1,0,23,1,0,0,2,0,2,1,0,0,2,14
"TRIM74",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CCL24",1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"BHLHA15",3,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,1,0,3
"MNX1",19,95,10,0,0,17,4,0,2,1,0,0,5,26,1,1,0,0,3,83
"MNX1-AS2",14,33,1,0,0,13,0,1,5,0,0,0,0,2,2,0,0,0,2,11
"MAGEB17",5,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,3,0
"DGKK",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEX11",1,1,0,0,0,0,6,1,0,3,0,0,0,0,1,2,0,0,0,0
"PLS3-AS1",2,0,2,0,11,1,0,1,26,4,0,0,0,0,0,1,0,0,0,0
"RP11-10A14.3",1,0,0,0,1,1,2,0,21,1,0,0,2,0,2,2,0,0,0,2
"RP11-13N12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAT2",6,0,4,0,0,1,6,0,0,1,0,0,2,0,1,3,0,1,5,4
"RP11-486M23.2",2,0,3,0,0,0,3,0,0,2,0,0,1,1,0,0,0,6,4,24
"TRPA1",14,0,0,0,4,1,1,21,0,0,0,0,115,0,0,0,0,0,0,0
"RP11-68L18.1",0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
"KB-1043D8.6",0,1,0,0,1,3,1,2,4,2,0,0,1,0,0,2,1,0,3,5
"KB-1930G5.4",4,10,0,0,0,1,4,0,1,0,0,0,1,0,0,1,0,0,2,0
"LINC01151",2,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-103H7.5",1,0,0,0,9,1,7,0,1,1,0,0,1,0,0,0,0,0,0,1
"RP13-467H17.1",1,6,0,0,0,1,0,0,0,0,0,0,1,0,3,7,0,0,0,0
"CTD-2517M22.17",2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,4
"RP11-183I6.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C9orf129",2,0,0,0,1,0,0,1,0,0,0,0,4,0,4,0,0,0,0,0
"RP11-281A20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRDM12",3,3,0,0,5,0,1,0,4,2,0,0,1,0,6,7,1,0,5,5
"LCN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP5-6",1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1
"AC068580.6",2,0,1,0,1,1,2,2,1,0,0,0,11,2,2,0,0,0,1,8
"CNGA4",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1
"RP11-732A19.6",1,0,0,0,2,0,1,0,0,0,0,0,2,1,2,0,0,0,0,5
"RP11-231N3.1",0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"RP5-1024C24.1",0,0,0,0,1,0,0,0,2,0,1,0,0,0,152,6,0,0,0,0
"MS4A18",5,0,2,0,0,0,8,0,0,0,0,0,2,0,3,4,0,0,9,2
"RP11-703H8.9",2,0,0,0,0,0,0,1,69,0,0,0,1,0,6,0,0,0,1,13
"ANO1-AS2",0,0,0,0,0,0,2,1,5,0,0,0,1,0,0,0,0,0,1,1
"KRTAP5-7",1,0,1,0,0,2,0,0,1,0,0,0,0,4,0,0,0,1,0,4
"RP11-702H23.4",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MIR4300HG",1,7,0,0,6,0,11,0,0,0,0,0,1,4,1,0,0,0,1,10
"GRM5-AS1",0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
"MMP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C11orf88",0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,2,0,1
"DRD2",1,0,0,0,1,1,9,14,3,0,0,0,0,0,0,0,0,0,0,0
"STT3A-AS1",1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
"RP11-264E20.1",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-482E14.1",3,0,5,0,0,0,21,0,0,0,0,0,2,0,0,0,0,0,0,0
"AKR1C4",1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"TUBAL3",11,0,6,0,3,1,13,0,1,1,0,0,0,1,5,4,1,0,3,5
"ITIH2",1,0,4,0,0,0,0,1,0,0,0,0,3,22,0,0,0,0,0,0
"C10orf113",2,2,3,0,0,1,2,0,0,1,1,0,1,0,9,8,0,0,3,6
"RP11-464F9.22",3,19,0,0,3,3,3,0,1,1,0,0,2,0,2,2,0,0,6,2
"RP11-15K3.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"SORCS1",0,0,1,0,0,4,1,0,0,1,0,0,67,0,47,106,0,4,0,0
"LINC00940",2,2,0,0,0,0,4,0,0,0,0,0,8,0,2,2,0,2,9,28
"RP11-277P12.10",11,0,0,0,1,0,1,4,1,30,0,0,1,0,1,0,0,0,0,0
"LINC01489",4,0,1,0,0,0,5,0,0,1,1,0,9,2,1,255,1,1,11,0
"KRT85",6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
"LACRT",172,1,1,0,0,1,1,0,0,0,0,0,26,0,2,1,0,0,3,1
"DCD",5,6623,6489,0,0,1,159,0,0,0,0,0,0,0,0,2,0,0,2,835
"RP11-54A9.1",5,0,0,0,2,0,4,295,0,0,0,0,0,0,0,0,0,0,0,0
"CASC18",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-110L15.2",14,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,2
"RP11-897M7.1",40,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00412",2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,5,0
"LINC00398",1,0,0,0,0,0,9,0,1,0,0,0,1,2,1,0,0,0,6,6
"RP11-141M1.1",1,0,0,0,0,0,1,0,4,0,0,0,1,1,1,0,1,0,0,2
"MED4-AS1",3,8,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,5
"DLEU1-AS1",1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1
"RP11-187E13.2",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
"RP11-218E20.5",0,0,1,0,0,0,2,3,0,0,1,0,3,0,0,0,0,0,1,0
"RP11-753D20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-404P21.8",24,0,11,0,0,1,3,2,0,0,0,0,2,0,0,0,0,1,0,0
"RP11-365N19.2",1,2,0,0,0,0,5,0,2,0,0,0,0,0,1,1,0,0,3,5
"CTD-2223O18.1",0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,1,1,5
"RP11-521B24.5",1,0,0,0,1,0,5,0,1,1,0,0,1,0,1,0,0,0,0,4
"IGHV3-19",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHV3-22",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHV3-62",0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM189A1",13,10,0,0,9,1,5,3,0,2,0,0,6,1,0,0,0,0,1,0
"RP11-102L12.2",2,0,0,0,1,1,1,0,0,0,0,0,1,0,2,1,0,0,1,0
"EHD4-AS1",0,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,3,1
"RP11-507B12.2",19,1,30,0,0,0,3,0,0,0,0,0,1,0,8,0,0,0,4,67
"RP11-507B12.1",5,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,2,38
"RP11-69H7.3",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-650L12.2",0,1,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0
"CHRNA3",1,0,0,0,0,0,22,2,1,10,0,0,0,0,0,2,0,0,1,0
"CHRNB4",5,0,1,0,3,0,19,1,2,6,0,0,1,0,0,178,1,1,0,14
"C15orf38-AP3S2",3,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
"RP11-61O11.1",1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
"ARHGDIG",11,2,1,0,1,1,15,1,6,1,0,0,2,1,0,0,1,0,3,9
"MSLNL",1,0,0,0,0,0,2,0,0,0,0,0,2,7,0,0,0,0,0,1
"LA16c-390E6.4",0,0,0,0,0,0,7,3,0,0,0,0,1,0,0,0,0,0,1,9
"RP11-715J22.4",1,0,0,0,1,0,7,0,0,0,1,0,1,1,0,2,1,2,2,9
"AJ003147.9",4,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-127I20.5",2,0,2,0,1,1,5,0,5,1,0,0,2,2,0,2,3,1,6,8
"CTA-363E6.5",3,0,3,0,0,1,24,0,0,0,0,0,5,1,2,0,2,0,8,7
"RP11-196G11.1",1,0,1,0,1,0,5,2,0,0,0,0,0,0,0,0,1,0,0,4
"IGHV3OR16-9",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-264M12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-85B7.2",2,0,1,0,0,0,1,0,5,0,0,0,4,1,1,1,0,0,7,1
"CFAP52",5,0,0,0,1,0,1,2,0,0,1,0,2,0,0,1,6,1,0,0
"RP1-66C13.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC010761.14",1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,1
"RP11-466A19.3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL15-CCL14",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP5-1110E20.1",8,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,3
"PRAC2",1,53,53,0,11,36,25,0,1,2,0,0,12,0,0,0,0,1,0,163
"TTLL6",1,0,1,0,4,1,3,0,0,0,0,0,1,0,0,7,0,0,0,3
"RP11-81K2.1",0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
"RP11-156L14.1",1,0,4,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0
"RP11-180P8.1",0,0,4,0,0,2,10,2,0,0,0,0,2,0,0,0,0,0,0,3
"RP11-552F3.10",1,4,0,0,3,2,2,1,7,1,0,0,1,0,2,4,0,0,1,5
"RP11-353N14.7",1,0,0,0,1,0,5,0,1,0,0,0,2,0,0,1,0,0,0,1
"LINC01443",26,0,0,0,0,1,80,0,1,0,0,0,1,0,0,0,0,0,0,14
"RP11-699A5.2",1,0,0,0,0,0,1,0,0,0,0,0,3,0,14,6,0,1,1,2
"RP11-116O18.3",1,4,0,0,0,2,2,0,0,0,0,0,1,0,0,8,1,0,9,4
"RP11-886H22.1",2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"CTD-2008L17.1",1,0,0,0,0,0,24,2,0,0,0,0,0,0,0,1,1,0,0,0
"CST4",0,0,180,0,0,0,0,0,0,0,0,0,545,66,534,2,0,2,60,1090
"RP1-63M2.5",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"RP4-553F4.2",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-42O4.2",6,0,0,0,0,2,1,2,0,0,0,0,2,1,0,0,0,0,0,0
"RP11-112L6.3",1,0,0,0,2,0,3,4,2,6,0,0,1,0,1,3,0,0,0,0
"RP4-530I15.6",2,1,0,0,1,0,3,0,4,1,0,0,6,1,8,4,0,1,7,3
"RP5-823G15.5",3,0,1,0,0,0,50,7,1,0,0,0,1,0,0,0,0,0,0,0
"RP13-379L11.1",1,0,0,0,1,0,59,0,0,0,0,0,9,5,3,0,0,0,0,302
"CTD-3113P16.5",1,0,0,0,1,1,4,1,1,0,0,0,1,1,1,0,0,0,2,0
"CATSPERD",1,0,0,0,3,0,0,0,10,0,1,0,1,0,1,1,9,0,1,0
"AC005253.4",4,0,0,0,0,1,3,0,1,0,0,0,1,0,0,1,0,0,1,1
"AC007204.2",5,2,0,0,1,22,5,0,1,0,0,0,0,0,1,0,0,0,0,0
"CTD-2332E11.2",9,0,3,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
"AC007796.1",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"AC092295.4",1,0,0,0,0,4,1,0,0,1,0,0,3,0,0,0,0,1,2,0
"WDR87",1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2
"CEACAM5",327,45,700,0,0,0,127,0,3,25,0,0,4,0,9,12,5,6,43,1023
"AC011513.4",2,3,2,0,0,2,10,0,0,0,0,0,2,3,0,0,1,0,0,2
"AC006262.10",3,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0
"IGFL1",3,0,7,0,0,20,306,0,12,3,0,0,18,0,1,34,0,0,0,12
"PLA2G4C-AS1",11,0,0,0,0,0,13,1,0,0,0,0,11,1,1,3,0,0,22,13
"AC022154.7",1,1,0,0,1,1,3,0,8,5,0,0,2,0,4,4,0,0,1,1
"CTD-3187F8.14",0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIM2",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"C19orf84",3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"SMIM17",1,0,1,0,0,5,0,3,1,0,0,0,1,0,3,1,0,0,2,2
"AC004076.7",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RNF225",1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1
"GALR3",20,0,11,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"CTA-280A3.2",2,0,2,0,0,0,7,1,0,1,0,0,1,1,6,0,0,0,0,0
"LINC00322",2,0,0,0,1,0,4,1,0,0,0,0,4,0,0,0,0,2,4,0
"LINC00319",7,2,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,1,3,0
"RP11-338N10.3",2,6,1,0,0,0,5,0,0,0,1,0,0,0,2,1,0,0,0,0
"ANGPTL7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"RP11-108M9.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP3-340N1.2",14,2,0,0,0,3,17,0,0,21,22,0,0,0,5,0,0,0,24,0
"LINC01361",2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"MYBPHL",2,0,1,1,0,0,5,2,0,29,0,0,0,0,0,0,0,0,1,1
"TCHHL1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPRR1A",2,0,17,0,0,0,12,0,0,16,0,0,0,0,0,0,0,0,0,3
"SPRR1B",1,0,6,0,0,0,12,0,0,10298,0,0,0,0,0,0,0,0,0,1
"RXRG",1,1,0,0,0,7,1,1,0,0,0,0,0,0,0,8,0,0,0,0
"RP4-781K5.7",4,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP5-940F7.2",1,0,0,0,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,4
"SRD5A2",23,3,0,1,0,0,2,0,8,1,1,0,0,0,3,1,3,0,5,15
"NT5DC4",1,2,5,2,0,0,3,0,102,9,0,0,0,0,0,1,0,1,0,2
"KCNH7",2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC072062.3",2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0
"LINC01614",0,0,0,0,1,0,0,66,0,0,0,0,0,0,0,0,0,0,0,1
"GPR156",9,3,0,1,35,7,10,0,4,0,1,0,0,5,1,0,0,0,1,1
"LINC01208",20,4,4,0,0,1,106,0,12,10,0,0,0,0,2,1,0,0,0,3
"RP11-329B9.1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"RP11-3J1.1",21,5,0,0,4,68,280,116,3,0,9,0,0,0,1,0,0,0,0,0
"BMP3",35,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTRNR2L13",0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,5
"RP11-1E22.1",0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0
"FSTL5",1,10,0,0,0,2,38,16,0,1,0,0,0,0,0,0,0,0,0,0
"CTD-2376I4.1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2
"CTD-2281M20.1",5,1,1,1,8,7,4,0,1,0,0,0,0,0,2,1,0,2,7,3
"CTD-2280E9.1",11,0,1,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,3
"P4HA2-AS1",2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1
"RP11-109J4.1",5,10,0,0,19,0,11,0,2,29,0,0,0,0,0,0,0,0,0,0
"RP11-443C10.1",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-360O19.4",1,3,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0
"OR2B6",1,13,2,1,0,0,9,0,6,28,2,0,0,0,6,11,0,0,0,7
"GUCA1A",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RP11-415D17.4",2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"AL023806.1",1,1,2,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,1,1
