"","CID3921","CID45171","CID4066","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID3941","CID3948","CID4067","CID4290A"
"CH17-270A2.2",1,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"LIX1L",34,8,4,1,75,269,197,630,783,50,23,1,9,3,63,27,3,1,47,54
"ANKRD34A",0,2,1,0,5,10,90,62,6,5,2,0,4,1,38,1,1,1,21,75
"CH17-270A2.1",0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"POLR3GL",225,183,125,26,190,336,933,1191,1176,450,62,15,345,58,1697,2038,45,66,365,1415
"TXNIP",107,224,213,13,332,1621,1332,268,1040,2123,97,18,1706,755,7776,21817,96,56,1997,5386
"NBPF10",215,113,65,0,312,663,1332,358,275,20,26,1,55,142,44,24,45,58,234,1191
"NOTCH2NL",61,98,27,3,30,96,158,76,175,53,14,8,66,23,367,141,21,22,151,438
"CH17-353B19.1",2,19,2,1,6,25,24,1,26,26,1,0,1,4,111,14,0,1,12,17
"CH17-408M7.1",0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,5,0
"NBPF12",89,105,60,0,53,165,823,57,212,89,25,3,36,80,125,125,13,15,205,858
"PRKAB2",111,122,57,9,55,223,361,392,754,120,30,1,75,33,235,191,11,16,297,400
"RP11-337C18.8",28,74,18,0,22,101,161,154,111,51,13,0,43,14,47,85,9,13,209,219
"FMO5",33,408,16,1,4,19,108,16,26,11,6,0,198,34,1071,153,10,14,1168,402
"CHD1L",150,401,98,10,226,856,598,573,679,554,84,4,123,79,277,187,15,19,176,906
"LINC00624",4,1,2,0,0,1,21,2,10,1,1,0,1,3,0,3,0,2,11,18
"BCL9",71,109,36,3,36,156,362,86,100,88,19,2,59,34,278,302,16,40,251,637
"ACP6",117,221,111,5,86,449,280,89,579,255,9,6,175,44,311,230,17,24,143,491
"GJA5",0,0,6,0,1,21,14,0,86,3,1,0,0,0,12,15,0,0,0,1
"RP11-433J22.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPR89B",95,158,37,6,46,222,187,77,327,185,60,4,138,29,197,259,17,48,236,328
"RP6-74O6.2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,11,1
"XXyac-YX155B6.7",1,1,0,0,0,0,1,0,4,2,0,1,0,0,4,3,0,1,0,0
"NBPF11",51,124,46,1,49,366,373,75,226,83,29,3,79,71,113,91,21,47,196,589
"RP4-565E6.1",1,6,19,0,0,0,0,29,0,0,0,0,2,0,19,8,1,0,147,25
"LINC01138",27,72,60,4,29,229,246,54,308,72,34,0,2,0,156,320,0,1,230,303
"RP11-495P10.1",14,14,3,1,1,20,37,5,34,30,1,0,1,0,63,27,1,0,42,47
"AC245100.1",41,128,80,3,323,1033,191,65,293,99,141,1,4,0,222,124,4,7,676,524
"PPIAL4G",1,0,0,0,1,0,3,0,1,2,0,0,1,0,3,2,0,0,12,5
"NBPF14",939,388,143,3,383,931,2576,706,940,175,82,3,111,220,1021,340,200,98,1429,3718
"PDE4DIP",129,80,186,5,248,604,888,853,449,321,137,6,105,111,616,263,25,82,980,1811
"NBPF9",26,62,29,8,64,132,248,262,156,30,14,1,48,26,232,157,14,51,269,677
"CH17-189H20.1",2,369,39,11,38,72,311,162,750,420,27,7,4,0,1008,1534,0,39,381,399
"RP11-326G21.1",0,2,8,2,5,0,15,17,44,9,0,0,1,1,21,35,0,0,42,61
"NBPF19",273,214,51,3,88,549,373,155,851,67,58,0,112,94,326,147,65,72,274,1347
"LINC00869",48,214,120,12,110,661,405,93,281,106,46,16,24,1,106,895,9,12,1440,999
"RP11-353N4.6",0,0,0,0,3,9,7,3,2,0,0,0,2,0,1,0,0,0,11,21
"FAM231D",0,10,1,0,0,1,0,2,31,9,0,0,0,0,16,75,0,0,9,11
"FCGR1A",6,2,0,0,17,15,10,17,5,5,2,0,0,0,3,17,0,0,3,9
"HIST2H2BF",123,65,69,0,19,73,25,101,46,48,72,0,46,3,107,86,18,17,478,652
"RP11-196G18.3",20,53,15,2,0,5,2,3,4,31,2,0,3,1,4,16,3,1,18,52
"HIST2H3D",10,0,4,0,2,61,2,46,0,1,5,0,0,0,0,7,1,0,11,43
"HIST2H4A",11,16,6,0,0,0,5,0,1,22,1,1,1,0,3,44,0,7,15,15
"HIST2H2AA3",11,4,8,0,0,1,5,1,7,30,5,6,10,2,17,6,1,2,85,109
"HIST2H2BE",241,417,235,2,22,130,323,31,375,719,26,5,54,31,465,2835,7,23,317,824
"RP11-196G18.24",11,66,4,6,0,4,14,3,40,61,2,0,7,0,62,54,2,4,31,40
"HIST2H2AA4",62,8,32,0,4,25,101,15,11,33,47,3,328,10,16,9,20,48,237,395
"HIST2H4B",12,1,0,0,1,1,2,0,3,0,1,0,9,1,1,4,1,3,8,4
"RP11-196G18.23",72,34,31,3,14,59,113,20,37,41,7,1,23,3,88,67,1,6,103,94
"HIST2H2AC",45,97,17,0,36,85,353,80,810,334,8,0,20,18,55,218,6,21,447,500
"HIST2H2AB",10,3,7,0,5,34,53,69,8,2,5,0,30,3,5,10,0,3,39,26
"BOLA1",414,457,139,9,156,1244,1978,141,1297,781,106,12,166,37,1059,1368,49,115,614,1391
"SV2A",0,4,1,0,0,1,2,253,1,5,0,1,0,3,2,161,0,0,1,1
"SF3B4",1349,527,422,66,1052,3434,4471,1104,1898,1393,264,69,1582,280,1583,2809,99,176,1130,1786
"MTMR11",31,15,12,3,17,133,28,307,98,596,31,3,11,23,28,96,7,6,185,208
"OTUD7B",231,147,117,11,115,289,631,205,504,235,36,3,173,150,657,813,30,38,462,909
"VPS45",212,177,105,28,128,507,629,223,448,322,58,16,221,83,247,641,19,41,490,676
"PLEKHO1",82,6,29,2,87,890,472,1052,66,79,15,4,22,9,184,200,5,3,46,32
"ANP32E",305,152,220,124,1490,2748,2008,1185,4934,3767,30,42,196,139,166,861,20,18,222,702
"CA14",0,0,1,0,2,0,0,0,1,9,0,0,23,1,7,2,2,3,2,6
"APH1A",3480,2071,990,66,3058,5618,6726,3176,7670,2924,589,39,1537,714,4448,5199,220,569,2122,5506
"C1orf54",16,12,31,0,115,56,146,386,58,22,35,1,28,33,34,105,1,11,77,111
"CIART",73,35,91,2,64,539,410,10,117,20,33,0,119,32,120,21,8,5,29,174
