"","CID3586","CID3921","CID45171","CID3838","CID4066","CID44041","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3946","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID4040","CID3941","CID3948","CID4067","CID4290A","CID4398"
"KIAA1683",104,69,110,622,128,49,22,323,268,201,1282,59,21,18,96,10,11,3002,405,184,834,22,37,49,174,20
"JUND",4515,4884,1672,81470,8715,1411,249,3746,3751,4610,8259,2468,684,1590,3138,142,898,12823,6648,2961,50817,498,1857,4539,7788,1706
"LSM4",1360,4681,4498,2895,5921,434,199,8356,8842,12710,8973,20076,5989,73,1722,88,1374,4873,7730,10437,1496,272,758,2232,5659,93
"PGPEP1",121,132,65,392,354,130,8,520,389,729,568,170,49,20,109,5,82,666,846,482,179,22,59,171,306,56
"GDF15",292,252,32,369,8003,158,31,186,3246,508,5172,183,123,27,50,33,956,2581,7020,3853,118,271,3342,927,16333,6
"LRRC25",31,308,102,961,80,43,9,629,465,120,2780,95,38,17,183,2,43,99,41,137,83,5,40,66,54,11
"SSBP4",198,408,376,1883,706,115,45,1395,945,2010,1659,3503,305,83,154,30,265,1805,4102,1772,1442,43,78,489,642,67
"ISYNA1",357,656,66,573,1938,242,22,1818,4339,1930,835,2873,105,93,240,31,1003,6200,2599,2439,1359,128,328,548,940,15
"ELL",463,421,158,954,554,80,23,716,660,695,1071,694,117,31,324,12,87,848,926,333,318,46,114,211,636,41
"AC005387.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FKBP8",1328,3181,2126,4393,3483,1258,173,9191,10810,10281,8786,6614,2522,202,1544,84,911,10383,4732,6895,2908,160,289,636,1807,76
"KXD1",880,2919,984,1919,2527,390,78,5368,5353,5961,5743,4152,1186,55,1143,30,460,5046,4001,2152,1061,116,300,563,1871,163
"AC005253.2",1,3,15,43,5,25,1,5,3,14,11,78,27,0,0,0,1,11,34,79,36,2,4,3,12,28
"UBA52",21177,25881,26551,34812,25553,11981,435,78427,65478,43897,51347,129011,50681,1144,15564,178,3927,52442,85146,72953,26964,2594,4563,7234,22338,20557
"CRLF1",5,6,10,28,29,20,2,18,44,318,13,38,5,1,3,0,2,144,33,32,14,0,3,6,10,4
"C19orf60",2160,3767,2079,4300,4630,403,95,6992,7784,7912,8915,6023,1398,130,2127,83,1192,6925,9742,5587,2604,237,1113,1547,5189,104
"TMEM59L",5,4,1,18,198,84,4,14,356,38,31,9,0,0,4,0,6,121,52,3,3,0,5,5,8,0
"KLHL26",78,106,35,220,119,29,3,121,186,134,129,234,34,5,51,1,54,261,240,222,81,3,23,51,117,10
"CRTC1",79,115,50,229,216,41,15,249,477,460,277,366,57,6,52,11,66,582,378,287,100,10,28,119,229,5
"COMP",13,240,45,3912,906,1,70,64,1309,447,8,178,0,1,35,8,56,3993,1145,76,379,0,5,262,588,38
"UPF1",156,298,241,805,453,69,13,495,492,822,710,1021,131,16,139,11,68,1019,758,423,429,23,63,299,455,26
"CERS1",2,1,1,9,0,5,0,1,4,3,0,5,0,0,1,2,0,5,6,31,1,0,0,1,0,3
"COPE",1633,3715,3639,6471,4114,1110,396,7560,7119,12189,6012,16613,6402,177,2301,198,1717,6372,9081,13133,3347,240,781,1725,2668,172
"AC002985.3",17,14,0,0,24,0,0,25,51,48,9,0,0,0,15,0,2,17,0,0,0,1,9,2,7,0
"DDX49",332,732,856,1035,807,162,24,1691,2355,2229,1285,2426,544,43,418,17,256,1413,1367,1558,599,57,92,275,618,45
"HOMER3",65,580,227,1494,495,47,49,1174,674,1225,1380,4904,626,33,126,12,80,647,892,289,402,24,37,310,891,3
"AC005932.1",5,10,1,10,2,2,0,18,17,1,88,14,1,1,3,0,2,13,0,0,2,0,2,4,3,0
"SUGP2",215,345,561,1110,456,186,43,732,787,962,1031,1741,257,27,184,23,185,1295,1430,1495,566,37,88,366,670,147
"ARMC6",100,351,321,420,392,76,14,1233,1075,1544,875,1091,195,14,129,12,141,780,530,668,224,28,61,153,307,16
"SLC25A42",53,43,47,168,72,43,6,220,226,113,89,354,21,3,18,2,12,224,243,139,176,7,15,37,62,28
"TMEM161A",248,427,209,515,610,139,22,796,1676,1106,727,768,372,21,228,16,295,1523,1211,1396,394,38,88,183,509,13
"BORCS8-MEF2B",31,63,1,2,49,0,1,89,138,99,64,22,3,0,22,1,16,97,9,13,7,2,5,9,9,0
"MEF2B",2,12,0,0,41,0,0,67,23,113,3,1,0,0,5,0,8,64,0,1,1,3,11,2,5,0
"BORCS8",58,145,561,729,206,140,71,193,204,250,229,1033,487,17,71,27,89,211,1342,1018,439,18,54,157,155,79
"RFXANK",350,720,561,1069,1009,319,61,1803,2815,2509,1655,3954,1394,50,402,30,382,2027,2846,2885,936,70,172,455,705,127
"NR2C2AP",360,559,379,376,655,120,27,925,1632,1778,771,1929,329,11,271,17,230,1223,1207,1527,251,42,120,401,903,117
"NCAN",1,1,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"TM6SF2",8,4,0,37,65,7,6,13,38,22,10,6,1,0,1,1,2,29,8,1,16,0,0,7,11,0
"SUGP1",143,220,175,361,229,99,18,582,831,546,419,490,206,13,138,8,82,609,457,731,247,10,29,105,173,15
"MAU2",159,243,271,497,312,107,15,505,625,579,568,675,95,13,149,6,94,963,693,509,331,22,56,207,377,89
"GATAD2A",344,648,336,1307,647,83,24,808,752,1113,1126,1625,233,28,294,10,76,1198,1131,492,647,54,97,398,726,82
"NDUFA13",829,1047,2471,4923,1425,1302,1083,1086,1409,1401,1115,9380,6297,321,922,711,1356,1383,7903,9010,4264,266,442,877,1353,588
"CTC-260F20.3",2,5,2,1,3,0,1,6,29,6,2,3,2,0,4,1,1,11,3,1,0,0,0,4,5,0
"YJEFN3",11,12,79,122,12,28,2,13,34,99,23,502,48,7,7,2,2,64,122,91,91,3,2,18,25,8
"CILP2",9,19,3,210,116,2,4,14,11,27,12,90,3,0,7,1,11,424,120,6,15,0,2,30,83,7
"PBX4",710,565,38,551,287,13,2,788,799,537,351,234,11,7,500,2,42,291,31,21,386,50,276,73,101,126
"AC002306.1",4,3,11,47,1,3,0,2,4,4,2,2,1,2,1,0,0,0,2,4,34,1,3,2,3,99
"LPAR2",582,714,246,275,464,45,9,873,2004,2580,288,646,148,4,389,6,218,567,631,760,209,38,178,167,742,83
"GMIP",232,303,124,651,167,44,10,949,810,284,979,261,45,7,260,2,59,244,162,144,202,28,78,72,128,53
"ATP13A1",208,464,310,589,579,50,12,918,651,700,1001,836,263,16,247,16,151,879,867,585,326,29,94,245,422,26
"ZNF101",98,144,125,323,123,106,9,704,560,190,250,282,58,4,68,4,57,252,687,177,238,8,30,48,80,263
"ZNF14",140,92,71,159,122,63,2,166,209,77,64,131,27,1,89,4,77,193,235,171,105,13,26,67,124,47
"CTC-559E9.1",30,30,15,30,34,22,1,48,106,72,36,76,17,0,18,0,20,124,88,103,39,15,14,72,117,19
"CTC-559E9.4",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0
"ZNF506",491,351,313,634,385,136,10,625,1215,739,519,94,82,18,313,9,176,1030,996,405,433,50,91,249,446,212
"ZNF253",55,87,137,149,115,61,3,268,448,241,105,153,33,2,44,5,52,157,276,279,118,6,20,85,110,39
"ZNF93",50,154,130,242,147,47,3,189,472,418,185,331,38,5,41,3,60,164,214,74,61,3,23,77,107,30
"ZNF682",54,84,192,118,138,35,4,179,309,208,79,66,7,2,77,2,42,243,217,217,93,9,24,134,198,63
"ZNF90",203,224,1433,258,215,314,44,229,244,57,122,4037,3809,17,161,125,57,185,2965,2527,140,94,66,347,541,128
"CTC-260E6.6",7,55,57,43,40,8,2,97,308,372,49,12,14,1,14,1,40,84,42,199,25,3,9,17,63,9
"ZNF486",44,61,22,122,90,32,3,86,272,171,106,13,4,3,22,0,124,305,160,343,59,4,20,33,251,16
"ZNF737",101,257,92,128,236,19,0,111,463,339,93,21,6,5,97,2,63,271,246,77,68,12,29,120,281,24
"ZNF626",49,112,274,353,266,127,22,95,306,245,41,88,95,15,56,20,56,382,1315,502,271,14,33,205,230,126
"CTD-2626G11.2",34,122,85,1,61,13,3,5,239,145,0,17,8,0,7,20,19,237,319,31,1,0,12,81,147,1
"ZNF66",85,144,21,57,147,7,1,188,383,323,75,32,4,1,74,1,56,340,65,15,44,11,29,126,194,12
"ZNF85",38,116,128,235,138,36,14,548,364,291,218,94,34,4,65,4,59,219,293,440,90,11,26,122,153,47
"ZNF430",417,336,366,1076,344,276,9,883,1060,621,548,775,100,14,263,3,85,942,847,666,662,46,86,178,416,491
"ZNF714",113,80,121,206,74,74,11,688,370,453,573,453,117,3,88,8,89,449,296,382,119,6,23,164,209,85
"ZNF431",371,278,279,718,351,210,14,652,841,601,543,848,206,28,236,16,114,883,713,410,401,43,74,222,438,267
"ZNF708",172,146,153,484,187,86,5,367,497,316,230,333,33,15,125,1,69,416,308,291,266,16,41,195,237,115
"ZNF738",152,201,124,229,295,48,9,284,704,909,303,707,58,13,114,3,73,358,452,215,170,13,45,174,154,81
"ZNF493",472,390,350,454,480,188,26,482,969,647,335,454,58,12,299,13,81,955,986,642,363,32,103,425,576,106
"LINC00664",3,1,1,8,2,3,1,7,11,42,7,9,8,0,7,0,1,10,5,3,2,0,0,1,2,4
"ZNF429",120,187,190,154,252,138,6,465,618,725,218,366,83,5,99,6,66,414,376,364,106,21,45,214,292,32
"RP11-678G14.2",1,23,0,5,4,5,0,32,138,146,2,2,5,0,1,0,12,58,1,2,1,3,0,0,10,1
"RP11-678G14.3",1,4,0,0,2,0,0,2,7,4,2,0,0,0,0,0,0,10,3,0,0,0,0,18,10,1
"ZNF100",123,129,90,325,136,31,5,213,310,221,262,122,29,6,52,1,64,395,191,229,129,11,28,156,76,52
"ZNF43",102,147,151,394,201,143,12,382,511,498,200,282,21,14,87,1,124,541,593,392,214,33,60,289,314,89
"ZNF208",26,47,116,151,147,23,2,60,377,179,28,6,9,7,46,0,82,319,191,28,111,8,9,24,47,23
"ZNF257",30,110,54,30,66,19,4,109,84,111,81,8,3,5,30,1,16,87,50,55,40,13,1,34,56,22
"ZNF676",5,19,105,20,22,14,5,7,107,10,4,8,1,5,18,1,35,146,63,12,44,4,0,4,4,4
"ZNF98",13,126,32,5,87,12,0,16,353,66,2,1,0,1,26,1,56,123,14,6,8,0,2,52,114,0
"AC025811.3",1,7,2,0,4,2,1,0,16,2,0,0,0,0,3,3,4,9,15,1,1,0,0,4,15,0
"ZNF492",7,45,13,15,56,5,1,64,71,16,10,10,5,0,21,0,14,52,14,3,19,0,0,6,42,4
"ZNF99",2,6,3,8,24,1,0,4,27,6,1,1,0,0,2,1,10,19,6,1,2,1,1,2,5,0
"ZNF728",2,3,0,5,6,4,0,3,28,6,0,0,0,0,1,0,3,17,3,0,5,0,0,2,4,0
"CTD-2291D10.4",1,34,1,0,10,0,0,4,36,158,4,0,0,0,7,0,5,8,0,3,0,1,2,0,21,0
"ZNF730",2,19,12,10,21,9,1,9,49,107,4,10,0,0,6,0,2,16,12,20,6,1,1,6,19,2
"ZNF724P",19,41,48,93,36,18,0,88,130,175,94,159,39,1,22,1,16,58,44,64,37,4,10,11,49,23
"RP11-15H20.7",64,65,4,3,63,0,0,37,99,163,39,2,0,0,43,0,37,103,3,1,6,5,17,52,61,5
"ZNF91",295,455,364,707,680,215,17,594,1116,1263,499,1091,260,26,154,14,405,1914,3195,1796,613,56,173,606,1689,206
"LINC01224",1,0,1,3,5,0,1,3,1,2,0,191,0,0,0,1,2,4,3,0,2,0,2,3,0,0
"ZNF675",203,241,122,395,264,78,11,363,454,403,298,494,81,5,116,4,87,239,272,305,201,18,36,97,196,119
"ZNF681",64,82,101,79,135,28,3,161,266,197,53,132,31,2,20,0,40,133,333,194,73,12,16,75,104,25
"ZNF726",27,98,117,38,152,23,2,94,258,695,69,399,35,0,26,1,17,102,61,109,33,4,14,34,119,27
"CTB-92J24.3",10,6,7,2,79,539,0,0,160,9,1,0,1,0,0,1,0,63,54,0,2,1,0,0,3,27
"ZNF254",101,145,131,456,259,105,8,192,381,421,207,393,95,11,76,4,65,335,556,286,263,20,33,199,313,88
"CTD-2017D11.1",51,81,156,94,93,139,2,99,132,193,62,259,54,1,26,0,20,139,303,359,49,9,17,49,95,63
"LINC00662",183,274,360,398,386,163,29,642,908,1474,667,671,231,14,272,11,124,1007,774,534,218,38,44,218,411,110
"CTC-459F4.1",1,5,32,12,4,5,0,3,15,57,7,37,9,0,7,0,5,44,66,10,9,0,0,1,4,1
"CTC-459F4.3",71,122,95,99,99,64,4,208,315,272,139,147,72,7,128,2,34,269,197,266,67,9,11,115,136,45
"UQCRFS1",2728,3150,4060,3660,4283,413,351,7226,8420,13931,7212,5599,3519,90,1645,292,2341,6554,8447,6131,1775,195,518,1273,3244,247
"CTB-32O4.2",5,9,14,12,7,1,3,3,11,18,2,6,2,0,0,0,8,9,33,19,22,1,0,10,6,1
"POP4",337,717,881,1018,1000,230,97,2008,2045,2398,2098,1083,855,32,410,72,511,1933,1645,2249,587,45,122,373,778,65
"PLEKHF1",337,225,203,346,418,79,52,498,1718,567,706,650,79,15,340,11,79,811,324,240,274,11,46,40,35,23
"C19orf12",217,389,383,916,444,92,29,961,806,880,1048,487,152,20,230,21,102,839,664,664,522,25,56,128,283,44
"CCNE1",91,95,97,307,202,7,17,164,98,286,86,93,308,10,58,3,9,39,91,52,123,5,20,20,59,10
"URI1",243,507,937,2043,674,199,31,1169,1040,1471,821,1282,320,56,219,23,138,1032,1246,951,1166,36,91,296,909,167
"ZNF536",1,0,0,1,6,3,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1
"TSHZ3",34,43,9,449,223,139,12,103,129,34,646,93,27,4,30,0,5,551,242,30,165,7,6,39,69,37
"ZNF507",98,123,153,224,176,64,5,243,280,284,205,232,62,15,59,3,53,436,363,265,185,16,29,139,209,33
"AC007773.2",12,20,118,36,18,10,0,43,52,66,65,17,22,0,18,1,31,15,46,100,19,3,4,16,30,2
"DPY19L3",44,100,117,274,270,74,6,171,208,349,261,124,43,4,57,12,63,397,535,221,155,11,20,189,473,25
"PDCD5",1523,3788,3670,3019,4898,589,201,9740,9098,12892,9875,9222,5741,97,1908,133,1500,7181,5634,5838,2103,253,643,1933,4388,166
"ANKRD27",183,341,228,267,284,63,19,426,564,630,612,286,80,6,166,18,40,583,252,392,177,14,58,228,524,47
"RGS9BP",4,29,13,9,6,0,1,9,8,33,4,9,3,0,4,0,2,9,4,6,4,2,2,3,10,0
"CTD-2538C1.2",1,8,66,55,5,0,0,9,6,34,11,50,18,3,5,0,0,8,44,49,34,0,1,3,5,2
"NUDT19",69,132,369,194,207,85,9,348,224,431,329,351,167,9,54,3,29,280,241,379,131,8,45,200,225,81
"TDRD12",1,1,64,16,10,4,0,6,7,717,5,2,2,3,125,0,0,56,8,6,2,0,0,35,4,0
"CEP89",122,201,458,550,344,102,36,437,797,1261,680,753,199,10,107,14,108,835,797,815,262,26,70,163,346,78
"FAAP24",20,50,160,142,94,40,12,282,179,420,279,279,70,5,37,3,39,182,184,306,69,4,18,56,70,44
"RHPN2",218,602,365,58,651,31,3,298,365,2974,106,189,139,3,37,7,346,896,659,770,32,36,57,274,1032,2
"GPATCH1",71,114,215,268,169,94,25,322,433,353,204,365,101,7,63,16,79,377,366,658,109,8,21,58,136,58
"LRP3",42,163,425,230,425,55,5,145,251,751,250,67,43,12,25,6,21,556,408,174,251,5,22,144,505,10
"SLC7A10",1,6,6,1,2,3,0,2,6,31,0,1,1,0,0,0,0,4,0,1,1,1,0,0,0,0
"CEBPA",44,212,495,2658,106,53,7,580,297,543,621,49,37,8,120,7,14,303,121,66,147,3,19,52,222,10
"CEBPA-AS1",3,25,96,16,18,18,1,86,46,111,32,13,6,0,3,0,3,71,66,41,5,0,1,7,46,1
"CEBPG",1160,1336,1254,1208,1259,149,106,1967,1854,3680,2150,1916,593,14,795,71,244,2232,1688,872,516,52,218,447,1290,72
"PEPD",393,1423,574,3152,1224,355,121,2556,3041,3296,3172,2648,3019,72,505,56,466,3814,2410,2205,1228,40,128,436,1164,66
"CHST8",22,84,26,6,51,0,0,1,26,176,4,3,221,1,0,0,14,49,471,257,9,3,25,383,28,0
"KCTD15",33,120,172,236,276,19,18,57,81,349,112,48,63,10,32,8,48,332,393,75,156,14,14,73,216,4
"CTC-526N19.1",3,113,259,25,319,11,6,7,39,840,16,5,81,1,1,11,81,125,305,40,17,3,3,51,378,0
"LSM14A",1345,1808,2286,2332,2600,455,122,4341,5825,5327,3596,3889,1403,54,1069,61,1245,5268,4411,3114,1274,173,344,896,3106,290
"KIAA0355",135,310,512,982,356,315,46,395,442,790,497,472,124,45,98,16,99,2192,1754,620,926,36,52,196,469,245
"AC010504.2",7,0,1,1,8,0,0,12,20,15,8,1,0,0,2,0,9,23,4,3,0,0,2,10,28,0
"GPI",896,3235,1388,1599,3203,249,45,6540,5858,12129,5781,1647,1375,62,1466,31,1743,4367,2315,1531,854,148,302,751,1994,318
"RP11-618P17.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"PDCD2L",88,163,300,163,129,65,9,307,306,386,181,509,275,9,54,9,75,137,604,600,107,11,26,56,104,12
"CTD-2588C8.8",3,6,8,14,1,3,1,4,7,23,6,5,5,2,1,1,7,6,6,7,8,1,4,9,7,0
"UBA2",999,1504,1360,2399,2145,415,60,3426,3694,2295,3318,2740,1372,141,804,31,1026,4017,3954,3417,2297,109,199,466,1223,174
"WTIP",29,55,51,653,116,130,18,40,114,51,31,76,11,41,23,1,13,682,506,109,686,1,7,42,98,12
"SCGB1B2P",3,561,570605,7,4,4,0,4,5,13789,3,5,1,0,1,0,5,38,13970,32,14,1,0,2,6,0
"ZNF302",408,439,342,524,832,272,43,1161,1682,2480,619,569,164,35,235,27,526,2959,1404,1253,479,40,111,615,1221,31
"CTD-2553L13.10",35,30,204,71,68,23,2,43,70,76,28,74,19,4,18,0,13,81,269,99,54,1,9,61,37,7
"ZNF181",89,69,136,197,216,137,7,142,342,357,194,144,45,14,53,4,135,533,612,402,131,12,30,112,193,17
"ZNF599",89,128,122,137,277,71,12,202,419,811,239,355,42,5,70,4,229,490,585,494,108,9,41,208,512,6
"CTC-523E23.4",1,1,0,0,2,2,0,3,4,1,0,1,0,0,2,0,0,4,4,3,4,0,0,2,2,2
"CTC-523E23.1",1,4,5,6,4,3,0,4,7,9,6,0,0,0,0,0,0,13,13,20,4,0,0,3,8,1
"CTC-523E23.11",120,101,26,32,124,28,2,225,213,131,47,2,0,2,84,0,36,259,22,136,45,7,33,51,157,42
"ZNF30-AS1",1,2,0,0,2,0,0,0,8,2,0,0,0,1,0,0,3,5,4,0,1,1,2,5,6,0
"ZNF30",17,24,43,59,51,23,2,75,127,134,76,28,7,0,12,1,41,88,125,72,38,9,8,35,95,1
"ZNF792",11,19,29,56,54,10,2,45,51,38,44,14,1,2,14,2,13,114,126,79,44,3,4,25,33,3
"GRAMD1A",434,710,700,1905,788,130,89,1790,1969,1764,2451,663,343,45,434,60,395,2875,3915,3109,1130,49,125,491,580,80
"CTD-2527I21.7",1,0,3,13,4,5,0,4,4,5,1,18,0,0,0,1,4,7,39,40,14,1,0,0,1,5
"SCN1B",23,69,14,399,102,17,3,172,103,66,1032,35,5,15,58,5,52,750,147,109,266,7,22,91,49,6
"HPN",81,9,427,9,298,28,2,21,293,993,16,41,11,0,164,19,892,813,789,1600,8,89,186,1129,1540,0
"HPN-AS1",1,0,0,0,2,0,0,6,7,7,0,7,0,0,0,0,1,0,0,1,0,0,0,0,9,0
"CTD-2527I21.15",5,1,7,0,0,1,0,15,10,14,0,38,2,0,3,0,0,4,7,1,0,0,0,0,7,0
"FXYD3",1846,6514,13170,23,7615,954,151,171,2968,10079,7,9920,30603,0,727,441,1966,5452,42198,46229,29,487,1195,6439,13618,34
"LGI4",10,42,10,467,264,155,26,102,72,34,40,81,1,102,8,3,11,923,485,744,1094,6,10,21,28,18
"FXYD1",220,162,51,556,950,1532,72,356,1306,136,168,118,12,78,101,9,71,4129,883,649,1325,27,104,125,249,15
"FXYD7",331,91,18,116,228,16,0,343,297,89,56,5,0,1,109,1,10,92,4,21,98,24,56,42,33,5
"FXYD5",10407,10419,1834,7872,9349,1823,218,21294,21073,11343,24890,8359,2520,181,7691,83,2542,21317,9866,2916,4715,602,1877,3926,13320,2433
"LSR",466,1384,1120,302,1252,144,82,611,2366,9577,401,6663,1734,17,292,82,469,2823,5875,3804,560,48,102,513,1548,69
"USF2",319,615,773,3232,725,217,24,1699,1444,2154,2030,1281,495,83,408,24,338,1870,2663,2168,1405,51,141,479,732,190
"HAMP",26,128,6,467,196,67,13,503,615,160,134,162,9,8,189,4,64,68,46,63,12,5,21,1024,12,83
"MAG",3,7,0,1,1,1,0,0,5,0,18,2,0,0,1,5,21,92,23,89,1,2,2,3,1,0
"CD22",73,39,21,139,10,94,1,379,219,10,20,167,19,4,9,7,8,69,34,88,74,8,3,12,11,18
"FFAR1",2,0,0,5,3,1,0,0,1,0,1,2,1,0,1,0,2,0,1,1,2,0,0,2,1,0
"FFAR3",21,29,4,99,13,14,14,33,12,15,706,11,7,30,21,0,0,29,23,9,24,0,9,35,12,0
"FFAR2",10,130,15,27,7,6,0,71,15,445,57,90,18,11,7,4,30,51,536,111,13,3,3,8,34,4
"DMKN",456,833,123,87,1553,147,4,53,999,1327,36,1225,250,12,15,10,994,2611,1847,503,83,80,117,540,3437,24
"SBSN",4,46,14,3,2,0,0,3,18,167,23,316,259,0,0,0,0,29,1,1,0,0,0,1,79,0
"TMEM147-AS1",27,49,40,34,51,20,4,209,130,251,68,110,14,3,19,3,40,174,170,70,41,6,7,43,134,8
"TMEM147",1226,3449,3466,2966,4953,730,211,6111,7243,11872,9850,7554,4545,81,1427,122,1825,6515,12857,9952,1669,246,575,1532,6856,106
"ATP4A",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"HAUS5",101,135,84,182,205,49,7,405,462,578,307,237,63,6,71,7,121,501,278,382,113,12,33,116,199,22
"RBM42",806,1199,1047,1515,1793,255,162,3215,3977,4434,2033,2055,1081,49,770,125,1265,5060,2843,4316,1073,81,238,630,1091,51
"ETV2",51,90,169,56,102,27,5,91,142,595,164,69,32,4,46,0,44,224,186,323,39,16,22,65,207,2
"COX6B1",4448,8931,16623,9763,11012,2243,574,17173,18458,29602,18316,14032,18031,291,6151,352,7971,14537,22264,27050,5921,919,2559,6366,10140,4419
"UPK1A",3,1,237,1,10,0,0,1,9,25,1,0,0,0,1,0,5,20,11,1,0,0,0,2,376,1
"UPK1A-AS1",1,0,1,1,2,0,0,0,4,7,1,0,0,0,1,0,0,3,2,9,7,0,0,1,16,0
"ZBTB32",60,38,12,135,18,13,1,465,188,60,62,31,11,0,86,1,0,10,9,10,66,1,27,6,4,16
"KMT2B",121,214,263,822,276,63,10,369,401,619,401,310,82,20,103,7,64,755,506,226,473,19,50,207,325,38
"IGFLR1",431,392,82,287,205,54,8,1350,909,416,1171,110,66,8,870,8,141,163,56,125,118,24,157,105,118,39
"AD000671.6",90,31,0,5,18,0,0,107,99,39,160,0,0,0,123,0,33,11,0,0,0,0,36,7,5,0
"U2AF1L4",326,412,259,445,581,197,29,1011,997,785,479,349,166,23,344,18,120,548,519,727,333,23,163,321,399,222
"PSENEN",251,798,2981,1565,862,514,368,1077,1229,1567,886,2230,2889,43,549,335,1992,1128,4942,8496,885,219,295,1028,673,695
"AC002398.9",2,2,0,1,3,0,0,1,3,2,5,0,0,0,1,0,1,5,0,0,0,1,0,1,0,0
"LIN37",153,169,36,40,227,24,10,314,460,390,295,39,26,6,141,6,120,405,44,149,45,17,43,104,162,5
"HSPB6",25,914,4,87,607,44,85,235,1012,42,197,64,2,16,7,14,16,5238,78,112,230,8,5,60,52,8
"PROSER3",60,79,168,128,83,60,6,296,309,648,243,200,74,5,35,3,76,309,371,484,81,9,12,69,263,35
"ARHGAP33",39,31,35,56,69,31,3,101,125,261,115,56,5,3,33,3,50,209,142,137,69,6,24,153,138,13
"NPHS1",7,6,0,120,4,1,0,11,8,2,23,2,1,0,11,0,1,6,4,1,13,0,4,1,13,1
"KIRREL2",8,1,0,3,0,13,0,7,6,3,8,2,0,0,1,0,0,11,2,0,9,0,0,0,0,0
"APLP1",7,46,54,65,37,25,7,25,73,860,124,15,38,2,3,6,10,178,69,86,44,3,5,11,36,3
"NFKBID",1830,863,457,3004,694,649,26,2706,1294,915,2467,781,90,37,1082,12,97,1669,1369,379,1113,121,336,273,1064,277
"HCST",4707,2812,2504,5333,2135,1349,52,10380,10487,1153,14203,2165,1305,184,6273,36,305,1261,685,1775,4354,277,1167,653,245,297
"TYROBP",2849,16056,2982,30700,4880,1389,225,39602,18220,4343,97260,10495,4209,370,16777,69,2565,5160,1758,7978,2027,375,2375,3363,2310,742
"LRFN3",21,50,63,120,96,9,6,70,123,175,101,59,23,6,26,2,25,309,263,109,80,7,11,43,134,1
"SDHAF1",349,653,635,409,860,19,7,912,1202,1580,807,639,534,19,231,2,201,962,1261,1147,339,31,159,454,1223,10
"SYNE4",118,304,177,3,796,53,9,394,669,1390,1,469,276,0,153,23,831,740,1420,1238,6,65,130,527,1581,0
"ALKBH6",225,290,340,252,417,9,52,637,739,716,670,348,263,5,326,60,250,636,545,621,198,37,97,308,338,11
"AC002116.7",26,11,12,9,28,3,2,62,47,144,35,36,10,0,16,0,27,61,11,20,9,6,8,21,43,2
"CLIP3",36,35,5,121,220,102,12,119,277,66,709,34,5,13,22,4,28,524,98,324,91,3,5,26,57,25
"THAP8",40,155,83,163,185,25,23,255,497,1004,484,122,102,1,77,10,69,224,238,450,69,7,12,93,184,2
"WDR62",22,24,16,69,33,2,2,88,59,287,119,190,27,0,9,0,22,36,27,73,31,3,7,9,14,2
"POLR2I",1336,2318,2628,1881,3196,753,173,5799,6044,8897,4177,7238,3034,87,1087,160,2191,5422,5310,8419,1610,296,647,2026,3189,125
"TBCB",1435,3274,1479,3762,4600,691,479,6685,8077,8037,9132,7734,1436,96,1869,352,2043,7393,6586,9589,2475,274,506,1851,3347,89
"CAPNS1",320,1359,1361,4038,1693,399,53,1959,1812,4351,3517,3180,820,124,500,26,380,5048,3320,3068,2471,103,194,1072,1732,508
"COX7A1",147,227,34,1222,852,751,262,353,570,240,868,189,62,158,96,60,116,3914,3183,743,2245,186,59,104,122,225
"ZNF565",63,93,96,158,101,45,3,175,287,246,167,120,40,2,24,4,66,370,190,234,64,6,10,50,151,31
"ZNF146",562,830,781,922,938,211,74,769,828,1193,1088,2110,578,18,345,54,481,1034,2104,1165,493,70,114,456,892,203
"LINC00665",260,552,485,105,838,99,31,1669,2535,2216,231,2868,268,9,159,30,461,1084,1098,1162,154,102,135,492,1639,19
"ZFP14",141,142,268,284,199,192,12,477,609,384,257,336,90,4,88,4,114,494,670,776,231,14,37,148,312,127
"ZFP82",77,76,74,138,138,91,7,149,388,97,125,141,59,5,52,6,48,222,249,218,120,6,26,57,136,38
"ZNF566",79,82,176,254,161,120,16,208,240,215,136,277,49,9,43,5,58,360,390,427,177,10,27,80,121,47
"CTD-2630F21.1",2,16,8,10,18,3,0,28,38,41,17,8,1,0,2,1,18,18,16,19,5,2,3,21,18,0
"ZNF260",393,333,207,269,497,61,17,357,747,803,377,372,103,4,173,5,140,508,477,369,165,27,103,521,612,67
"ZNF529",213,156,125,294,275,61,12,190,348,138,227,202,42,6,111,5,67,395,314,122,169,18,40,168,326,45
